"City1","lat","lon","City2","lat","lon","Distance"
"Cartagena","37.99238","-1.130543","Castellón","40.251857","-0.061505","267.33"
"Cartagena","37.99238","-1.130543","Albacete","38.995105","-1.855961","128.04"
"Alcorcón","40.346762","-3.828632","Lugo","43.010609","-7.556567","428.74"
"Alcorcón","40.346762","-3.828632","Sabadell","41.546421","2.108794","517.27"
"Alcorcón","40.346762","-3.828632","UD Logroñés","42.46612","-2.439668","262.46"
"Alcorcón","40.346762","-3.828632","Castellón","40.251857","-0.061505","320.43"
"Alcorcón","40.346762","-3.828632","Albacete","38.995105","-1.855961","226.2"
"Lugo","43.010609","-7.556567","Sabadell","41.546421","2.108794","813.21"
"Lugo","43.010609","-7.556567","UD Logroñés","42.46612","-2.439668","423.28"
"Lugo","43.010609","-7.556567","Castellón","40.251857","-0.061505","695.3"
"Lugo","43.010609","-7.556567","Albacete","38.995105","-1.855961","654.59"
"Sabadell","41.546421","2.108794","UD Logroñés","42.46612","-2.439668","390.35"
"Sabadell","41.546421","2.108794","Castellón","40.251857","-0.061505","232.61"
"Sabadell","41.546421","2.108794","Albacete","38.995105","-1.855961","440.34"
"UD Logroñés","42.46612","-2.439668","Castellón","40.251857","-0.061505","316.32"
"UD Logroñés","42.46612","-2.439668","Albacete","38.995105","-1.855961","388.59"
"Castellón","40.251857","-0.061505","Albacete","38.995105","-1.855961","207.86"
